"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 10 19:23:28 GMT 2023","Tue Jan 10 19:23:40 GMT 2023","11963","","Developers page checking","","","","Check tabs ""developers"" page",""
"passed","Tue Jan 10 19:25:03 GMT 2023","Tue Jan 10 19:25:09 GMT 2023","5756","","Pricing Calculator","","","","Check the ""pricing calculator"" working",""
"passed","Tue Jan 10 19:23:42 GMT 2023","Tue Jan 10 19:23:52 GMT 2023","9686","","Developers client libraries","","","","Check the client libraries choosing",""
"passed","Tue Jan 10 19:24:33 GMT 2023","Tue Jan 10 19:24:44 GMT 2023","10958","","Forgot password","","","","Check ""forgot your password"" on login page using valid credentials",""
"passed","Tue Jan 10 19:25:25 GMT 2023","Tue Jan 10 19:25:29 GMT 2023","3810","","Support centre sections","","","","Check ""Reference Material"" section for clicability and displaying",""
"passed","Tue Jan 10 19:24:12 GMT 2023","Tue Jan 10 19:24:17 GMT 2023","4929","","Sidebar doc links","","","","Check the clicability WebRTC link",""
"passed","Tue Jan 10 19:25:21 GMT 2023","Tue Jan 10 19:25:25 GMT 2023","4006","","Support centre sections","","","","Check ""Tours and Videos"" section for clicability and displaying",""
"passed","Tue Jan 10 19:25:42 GMT 2023","Tue Jan 10 19:25:47 GMT 2023","5081","","Support centre links","","","","Check the clickability of ""facebook"" footer link",""
"passed","Tue Jan 10 19:25:36 GMT 2023","Tue Jan 10 19:25:42 GMT 2023","5924","","Support centre links","","","","Check the clickability of ""support24/7"" footer link",""
"passed","Tue Jan 10 19:24:55 GMT 2023","Tue Jan 10 19:25:01 GMT 2023","6594","","Playnig the customer stories video","","","","Check playnig the customer stories video",""
"passed","Tue Jan 10 19:24:17 GMT 2023","Tue Jan 10 19:24:22 GMT 2023","5015","","Sidebar doc links","","","","Check the clicability Debugging link",""
"passed","Tue Jan 10 19:24:07 GMT 2023","Tue Jan 10 19:24:12 GMT 2023","5330","","Sidebar doc links","","","","Check the clicability Porting link",""
"passed","Tue Jan 10 19:25:11 GMT 2023","Tue Jan 10 19:25:14 GMT 2023","2479","","Data and Privacy documents","","","","Check displaying data & privacy information",""
"passed","Tue Jan 10 19:25:31 GMT 2023","Tue Jan 10 19:25:36 GMT 2023","5123","","Support centre links","","","","Check the clickability of ""telnyx"" footer link",""
"passed","Tue Jan 10 19:24:47 GMT 2023","Tue Jan 10 19:24:53 GMT 2023","6265","","Become a Telnyx Partner","","","","Fill out the ""Become a Telnyx Partner"" form using valid credentials",""
"passed","Tue Jan 10 19:24:01 GMT 2023","Tue Jan 10 19:24:07 GMT 2023","5532","","Sidebar doc links","","","","Check the clicability Account link",""
"passed","Tue Jan 10 19:23:54 GMT 2023","Tue Jan 10 19:23:59 GMT 2023","4692","","Developers page search bar","","","","Check search bar of ""developers"" page",""
"passed","Tue Jan 10 19:25:49 GMT 2023","Tue Jan 10 19:25:53 GMT 2023","4550","","Filling the ""TryToFree"" form","","","","Check ""Try to free"" form using valid credentials",""
"passed","Tue Jan 10 19:25:16 GMT 2023","Tue Jan 10 19:25:21 GMT 2023","5295","","Support centre sections","","","","Check ""Getting Started"" section for clicability and displaying",""
"passed","Tue Jan 10 19:24:24 GMT 2023","Tue Jan 10 19:24:31 GMT 2023","7227","","""Try Now"" section of developers page","","","","Check ""Try Now"" section of developers page",""
"passed","Tue Jan 10 19:22:49 GMT 2023","Tue Jan 10 19:23:02 GMT 2023","13034","","Careers opportunities","","","","Fill out a job application using valid credentials",""
"passed","Tue Jan 10 19:23:04 GMT 2023","Tue Jan 10 19:23:26 GMT 2023","22381","","Developers page documentation","","","","Check documentation the ""Messaging"" page",""
